ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Celtis crenata (Wedd.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,,,BO
Celtis chinensis Bunge,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,,,
Aphananthe sakalava Leroy,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe sakalava,1923,2012,MG
Sponia andaresa Comm. ex Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,
Celtis occidentalis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1793,2022,"AR, NL, UA, NO, MD, MX, RU, CA, GB, TW, SE, HU, BG, CH, CZ, KR, AE, NZ, AM, IT, DE, DK, BM, AU, BR, AT, ES, ZZ, JP, BE, FR, PL, LU, UZ, EG, SK, SI, PT, PE, US"
Trema cannabina var. cannabina,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1968,1972,"CN, SG, PW, TL"
Celtis riparia Liebm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis caudata,,,MX
Celtis epiphylladena Ortega,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1785,1785,ES
Cannabis indica Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1871,2013,"ZZ, US, CZ, FR, LB, GR, ZA, MX, BR, IN"
Celtis fluminensis Carauta,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1816,2021,BR
Trema orientale f. micranthum (Blume) Kuntze,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1990,1991,BR
Celtis kraussiana var. stolzii Peter,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,,,TZ
Trema chichilea (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1816,1855,"PE, BR"
Ampelocera macrocarpa Forero & A.H.Gentry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera macrocarpa,1927,2021,"CR, VE, PA, CO, NI, HN"
Celtis fengqingensis Hu ex E.W.Ma,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1938,1938,CN
Sponia angustifolia (Lindl.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,,,MY
Celtis opegrapha Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,,,ZA
Celtis laevigata subsp. reticulata (Torr.) A.E.Murray,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1983,2015,US
