ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Celtis williamsii Rusby,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1901,1901,BO
Celtis audibertiana Spach,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,,,
Trema rufescens (Banks) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1822,1901,"CO, DO, HT"
Celtis spinosa var. weddelliana (Planch.) Baehni,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1833,1970,"BR, UY, AR"
Celtis laevigata var. texana Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1846,2017,"MX, US"
Trema vieillardi Schltr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1847,1977,"PG, NC, VU"
Celtis cinnamomea Lindl. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis timorensis,1890,2000,"IN, ID, SG, CN, MM, VN, TH, ZZ"
Celtis mildbraedii Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis mildbraedii,1889,2021,"ZA, GN, UG, ET, TZ, GA, ST, MG, ZW, CM, CD, BJ, ZZ, CG, KM, SZ, CI, CF, GH, LR, YT, TG, NG, MZ, AO, KE"
Trema carinata Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1851,1851,BR
"Trema cannabina var. glabrescens (Planch.) de Wit, 1949",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1903,1985,"BN, MY, SG, FM"
Celtis leveillei var. holophylla Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1900,1955,"CN, JP"
Trema cannabina var. scabra (Blume) DeWit,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1933,1996,"FM, PW"
Celtis morifolia Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1885,1993,"BR, BO"
Celtis bonplandiana Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1905,1905,"AR, BR"
Celtis cerasifera C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis cerasifera,1880,2006,"ZZ, MM, CN, US"
Celtis philippensis var. consimilis J.-F.Leroy,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1932,1980,CN
Celtis cordata Pers.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,,,JP
Celtis cordifolia Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1964,2013,KR
Trema rigida Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,MY
Cannabis gigantea Crevost,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1866,1908,"VN, CZ"
Trema morifolia Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1915,1915,PH
Celtis mollis Humb. & Bonpl. ex Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1799,1799,VE
Celtis lancifolia (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1950,2011,"PY, BR"
Celtis sumatrana (Miq.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rigescens,,,ID
Celtis kraussiana Bernh.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1821,1962,"CD, ZZ, AO, ET, ZA, ER, UG, KE, US"
Gironniera subaequalis var. brevistylis Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,,,ID
Celtis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,,1797,2022,"AF, GY, NC, ZZ, AU, RE, KM, GT, BG, UA, GN, CI, LK, CH, TO, VI, NF, IT, JP, HR, GQ, NL, CA, AM, CU, SA, UY, AR, YT, PL, FJ, PT, BR, GA, EC, SO, PW, ES, CR, TG, HT, ST, TT, PE, NG, VN, CD, PF, MA, GH, AT, NP, PY, KE, AZ, ZW, CF, AO, KR, PK, TR, MZ, GE, NE, UG, EG, CL, RO, ZA, CM, DZ, VE, SB, RU, HU, CN, PG, GR, DO, SN, MY, IQ, ID, MM, VU, ET, BO, FR, CO, MX, IN, PA, MW, MG, PH, IR, TH, NI, CZ, SY, JM, HK, US, EH, TW, ML, TZ, DE, HN, BJ, FM, SV, GF, CK, LA, SR, BE"
Celtis tenuifolia Nutt.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1825,2022,"US, BO, BE, CA, ES, NL, AR"
Cannabis sativa var. himalayensis Cazzuola,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1847,1872,"IN, BE"
Celtis asperifolia Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rigescens,1919,1919,PH
Gironniera amboinensis Lauterb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,1913,1913,ID
Ampelocera hondurensis Donn.Sm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera hondurensis,,,HN
Celtis hildebrandii Soepadmo,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis hildebrandii,1930,2008,"ID, AU, PG, SB"
Aphananthe aspera var. pubescens C.J.Chen,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe aspera,1926,1963,CN
"Celtis serratissima Zamengo, R.B.Torres, Gaglioti & Romaniuc",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis serratissima,1914,2021,"BO, BR"
Celtis hilariana Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,BR
Celtis harperi Horne ex Baker,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis harperi,1934,2013,"WF, AS, FJ, TO, NU"
Trema sativa L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema sativa,2006,2006,TW
Celtis occidentalis var. pumila (Pursh) A.Gray,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1880,2010,"CA, US"
Humulus neomexicanus (A.Nelson & Cockerell) Rydb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1942,2003,US
Celtis tala var. chichape (Wedd.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,,,BO
Ampelocera verrucosa Kuhlm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera ruizii,1913,1922,BR
Cannabis sativa var. indica (Lam.) E.Small & Cronquist,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1952,2010,"CO, PF"
Trema guineense (Schumach. & Thonn.) Ficalho,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1898,2011,"TZ, GQ, CI, LR, GN, SL"
Ampelocera glabra Kuhlm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera glabra,1922,2020,"ZZ, BO, BR"
Celtis balansae Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis balansae,1860,1991,NC
Celtis tala var. gaudichaudiana Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,,,BR
Sponia lamarckiana (Roem. & Schult.) Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema lamarckiana,1899,1899,"BS, HT, GP, DO, VC"
Trema tomentosa var. tomentosa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1863,2021,"CX, AU"
Gironniera grandifolia Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera celtidifolia,1932,1932,SB
Sponia orientalis (L.) Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,ET
Celtis zizyphoides (Kunth) Spreng.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,CO
Humulus lupulus var. pubescens E.Small,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1852,2021,US
Celtis amphibola C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,,,CN
Humulus lupulus subsp. americanus (Nutt.) Á.Löve & D.Löve,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1822,2018,US
Trema micrantha var. floridana (Britton ex Small) Standl. & Steyerm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1939,2022,"US, SV, HN, GT, BZ, PA, MX, CR"
Trema macrophylla (Kunth) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,
Trema Lour.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,,1796,2021,"DE, CR, SV, GH, GT, CO, VE, AR, NZ, VI, ST, KH, PH, EC, PR, MP, ZA, CN, HN, BR, MX, ZM, GF, MG, AU, GP, PE, IN, TT, ID, TW, LA, SB, NA, PY, MY, ZZ, BN, JP, FJ, BQ, SN, US, PA, NC, BJ, VN, CI, GA, BD, TZ, MW, MM, JM, AO, CU, BO, TH, PG, DO, GQ, GY, KE, LR, PK, SR, LK, MZ, VU, UG, BS, GN"
Trema orientalis (L.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1678,2021,"BI, ZA, PF, FJ, ML, ZW, PH, GM, CF, YT, BR, KH, SG, ET, IN, PG, RE, KE, DE, ER, AO, LA, NZ, SZ, GA, TH, SL, YE, WF, GQ, ZM, GH, AS, CN, BJ, SN, MU, PW, MG, GN, CR, CI, VU, TZ, CA, SC, NP, AU, MY, BT, SD, MW, TW, NC, BF, ID, JP, SB, UG, CG, CD, HK, LK, MP, VN, NG, RW, TL, LR, TD, BD, GW, SO, SA, CO, ZZ, ST, NA, TO, WS, US, KM, BN, MM, TG, CM, MZ"
Celtis pacifica Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pacifica,1847,2015,"CK, ZZ, PN, PF"
Celtis occidentalis f. neglecta F.Seym.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1904,1904,US
Trema floridanum Britton,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1961,1981,US
Momisia pallida (Torr.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1949,1949,US
Parasponia rugosa Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema rugosa,1840,2002,"ZZ, PH, NL, PG, ID, FJ"
Ampelocera edentula Kuhlm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera edentula,1918,2021,"PE, EC, GF, SR, BR, GY, CO, VE, BO"
Celtis australis subsp. caucasica (Willd.) C.C.Towns.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1892,2017,"KG, AM, UZ, KZ, AF, TR, TM, ZZ, AZ, TJ, GE"
Celtis occidentalis var. submembranacea Fernald,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1934,1934,US
Celtis pubescens (Humb. & Bonpl.) Spreng.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1816,2018,"AR, UY, PY, BO, VE, CO, ZZ, BR, PE"
Sponia acuminatissima Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,,,ZZ
Cannabis sativa var. sativa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1856,2021,"CA, CZ, US, ZA, PK, PL, AT, NZ, SK"
Celtis chichape (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1845,2022,"CL, PY, BR, BO, UY, AR"
Ampelocera Klotzsch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,,1903,2021,"ZZ, CR, GF, BZ, PA, GT, EC, MX, NI, CO, SR, PE, GY, BR, BO"
Celtis dichotoma (Klotzsch) Ruiz ex Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1787,1828,PE
Celtis floridana Raf.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1901,1901,US
Chaetachme microcarpa Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,1909,1978,"CD, GH, AO, CI, ZZ, ZA"
Trema nitida C.J.Chen,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema nitida,1917,2013,"MY, CN, TH"
Celtis hypoleuca Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis hypoleuca,1869,2014,NC
Celtis appendiculata E.Mey. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,,,ZA
Celtis laevigata var. brevipes (S.Watson) Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1934,1972,"US, MX"
Celtis henriquezii Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1898,1971,"AO, ST"
Momisia tarijensis Wedd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1847,1847,BO
Trema grevei Baill.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,
Celtis eriantha E.Mey. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1839,1839,"ZZ, ZA"
Celtis sinensis f. magnifica Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1958,1992,KR
Gironniera paucinervia Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera parvifolia,1915,1925,"MY, ID"
Celtis spinosissima (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1828,2021,"AR, BR"
Celtis douglasii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1882,1986,"MX, US, ZZ"
Trema philippinensis Elmer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema rugosa,1927,1927,PH
Celtis sinensis var. japonica (Planch.) Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1862,2016,"ZZ, NL, JP, KR"
Celtis occidentalis var. canina (Raf.) Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1856,1978,"CA, US, TW"
"Momisia americana Berry, 1914",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Momisia americana,,,
Celtis sericea Romanczuk,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1940,1976,AR
Celtis julianae C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis julianae,1907,2014,"ZZ, CN, KR"
Celtis conferta var. elliptica Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis conferta,1868,1868,NC
Celtis tikalana Lundell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tikalana,1959,1968,GT
Celtis rhamnifolia C.Presl,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1908,1971,"US, ZZ, ZA"
Trema timorensis (Decne.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1887,1887,"VN, ID, MM, IN"
Celtis labilis C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1907,2003,"ES, CN, US, ZZ, NL"
Sponia vieillardi Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,NC
Celtis cercidifolia C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1885,1887,CN
Trema guinensis Priemer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema guinensis,1893,1893,"CM, TZ, KE"
Gironniera cuspidata (Blume) Kurz,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1893,1990,"MY, VN, ID, CN, PH"
Celtis rigida Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,
Celtis angustifolia Lindl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,,,"ZZ, MY"
Celtis leveillei Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1917,2012,"JP, CN, KR"
Celtis spinosa var. pallida (Torr.) M.C.Johnst.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1840,1992,"US, MX"
Celtis nymanii K.Schum.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rigescens,1945,1972,"PG, SB, ID"
Chaetachme madagascariensis Baker,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,1905,2016,MG
Ampelocera hottlei (Standl.) Standl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera hottlei,1911,2021,"SV, BZ, MX, NI, CO, CR, HN, ZZ, PA, GT"
Celtis tala f. velutina Herzog,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1910,1911,BO
Celtis nervosa Hemsl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1910,2021,"TW, CN"
Celtis emuyaca Metcalf,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1922,1938,CN
Celtis amboinensis Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,,,"ID, MM"
Celtis orthacanthos Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis orthacanthos,1923,2021,BR
Parasponia melastomatifolia J.J.Sm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema melastomatifolia,1907,1969,"PG, ID"
Celtis texana Scheele,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1996,1996,US
Celtis tetrandra Roxb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1803,2022,"TW, ZZ, IN, MM, ES, TH, LA, ID, CN, BT, FR, NP, PK, VN, JP"
Humulus lupulus L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1600,2022,"CH, BY, JP, HR, TR, PL, KP, CA, UA, TW, AE, NO, RO, EE, KR, GG, AU, CN, MK, RS, LI, ME, PE, BG, IE, AM, NZ, IN, BE, SE, HU, KZ, LU, AL, BR, SY, DK, AT, GE, DZ, IT, SK, RU, CZ, LT, AR, GB, IR, LV, NG, MD, AZ, MX, FR, AX, BA, XK, CO, CL, SI, AD, JE, UZ, ZZ, IM, MG, KG, NL, ZA, ES, GR, US, DE, FI, AF, PT"
Celtis australis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1600,2022,"HU, EG, NZ, AT, NP, US, PK, SY, SM, UA, BE, AF, AL, DZ, RO, ES, PT, ME, TM, GI, MC, NL, AZ, IR, IN, LU, CN, AM, CL, PL, BA, BG, SI, CY, AR, RS, LB, DK, RU, NC, TR, CH, PS, BR, AU, MX, TN, LI, HR, UZ, NO, GR, ZZ, GB, MA, IT, SE, FR, DE, MK, ET, IQ, BO, IL, AD, GE, JP, KR, JO, ZA, CZ"
Celtis loxensis C.C.Berg,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis loxensis,1910,2020,"EC, BR, PE, BO"
Celtis adolfi-friderici Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis adolfi-friderici,1907,2019,"BJ, CD, CF, ZZ, GA, CI, LR, UG, TZ, GN, GH, CM, CG"
Cannabis sativa subsp. indica (Lam.) E.Small & Cronquist,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1859,2021,"GQ, BT, MM, RE, DE, ZA, US, MX, PK, IN, AF, ES, FR, BS, BR, CA"
Trema cannabina Lour.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1822,2021,"GM, TL, CK, VU, GU, TH, WS, FM, FJ, BT, IN, TO, PH, TG, NP, SG, SB, AU, MY, ID, BN, KH, MM, AS, CN, VN, PW, PG, NC, TW, JP, ZZ, KM, MU, SC, MG, US"
"Momisia carolinensis Berry, 1914",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Momisia carolinensis,,,
Celtis tournefortii subsp. tournefortii,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tournefortii,1888,1966,"IQ, AM, TR"
Trema dunnianum H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1906,1906,CN
Celtis pavonii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,1778,PE
Celtis canescens Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,MX
"Trema micrantha Linnaeus, 1759",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,2016,2020,"CO, BR"
Celtis tournefortii Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tournefortii,1831,2021,"KR, NL, SY, HR, UA, IT, CY, IQ, ZZ, AZ, GR, RU, BE, IR, ES, MK, GE, TR, DE, BA, AM"
Celtis tenuifolia var. georgiana (Small) Fernald & B.G.Schub.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1909,1990,US
Celtis brasiliensis (Gardner) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1816,2022,"PE, PY, GY, EC, BO, AR, VE, BR, ZZ, CO"
Celtis franksiae N.E.Br.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis mildbraedii,1910,1950,ZA
Gironniera rhamnifolia (Zipp.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera rhamnifolia,1912,1993,"PG, ZZ, ID"
Sponia politoria Wall. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema politoria,,,"IN, ZZ"
Celtis xizangensis E.W.Ma,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1967,1975,CN
Celtis madagascariensis Sattarian,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis madagascariensis,1910,2020,"MG, YT"
Celtis laevigata Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1831,2022,"BM, NL, MX, HU, BE, GB, NZ, CA, ZZ, US"
Humulus lupulus var. cordifolius (Miq.) Maxim.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1861,2019,"TW, RU, JP, NO, ZZ, CN"
Celtis choseniana Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1923,2018,"KR, CA"
Celtis chekiangensis C.C.Cheng,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chekiangensis,1950,1950,CN
Celtis philippensis var. wightii (Planch.) Soepadmo,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1889,2018,"AU, VN, TH, ZZ, MY, CN, ID, MZ, IN, LK"
Mirandaceltis monoica (Hemsl.) A.J.Sharp,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe monoica,1897,2000,"MX, GT, SV, HN"
Celtis spinulosa Spreng.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis spinulosa,,,BR
Gironniera hirta Ridl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera hirta,1892,2016,"TH, BN, MY, PG, ZZ, ID, PH"
Celtis crassifolia Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1831,1986,"ES, US"
Celtis pumila Pursh,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1850,2018,"US, CA, ZZ"
Trema micrantha var. strigillosa (Lundell) Standl. & Steyerm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1972,2003,"HN, MX, GT, SV"
Sponia virgata (Roxb.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,"MM, ID"
